Datei;Beschichtung;Zwischenschicht;Normalkraft [N];Frequenz [Hz];Bewegungshub [µm];Widerstand bei 1 Zyklen;Widerstand bei 2 Zyklen;Widerstand bei 5 Zyklen;Widerstand bei 10 Zyklen;Widerstand bei 20 Zyklen;Widerstand bei 50 Zyklen;Widerstand bei 100 Zyklen;Widerstand bei 500 Zyklen;Widerstand bei 1000 Zyklen;Widerstand bei 2000 Zyklen;Widerstand bei 5000 Zyklen;Widerstand bei 10000 Zyklen;Widerstand bei 20000 Zyklen;Widerstand bei 50000 Zyklen;Widerstand bei 100000 Zyklen;Widerstand bei 200000 Zyklen;Widerstand bei 500000 Zyklen
AgNi 5 V3.txt;Ag;Ni;2;2;100;1,215149;1,216255;1,451253;1,58506;1,143132;1,248773;1,279171;1,190468;3,552372;;;;;;;;
AgNi 5 V4.txt;Ag;Ni;2;2;100;2,226179;2,231804;2,205714;2,121339;2,10669;2,105038;2,094075;2,325705;2,161791;;;;;;;;
AgNi 5 V5.txt;Ag;Ni;2;2;100;2,224252;2,226047;2,264512;2,235454;2,189712;2,133726;2,14184;2,351305;2,468087;;;;;;;;
AgNi 50 V2.txt;Ag;Ni;2;2;100;2,027754;2,181011;2,26816;2,195397;2,137043;2,250089;2,854744;1,732486;2,189292;2,124426;4,647881;4,040618;5,236382;;;;
AgNi 50 V3.txt;Ag;Ni;2;2;100;;;;;;;;;;;;;;;;;
AgNi 50 V4-3.txt;Ag;Ni;2;2;100;0,526109;0,525597;0,647835;0,439436;0,361785;0,363738;0,452977;0,403679;0,902518;2,750029;1,864901;3,591222;6,688377;;;;
AgNi 50 V5.txt;Ag;Ni;2;2;100;0,48037;0,479958;0,762733;1,457006;1,701092;2,056871;3,31408;0,396965;1,259059;1,391097;2,228683;3,00837;2,267891;11,634704;;;
AgNi 300 V2-2.txt;Ag;Ni;2;2;100;2,681893;3,085631;4,997604;6,209971;6,932212;3,139439;2,430141;3,299111;3,640975;6,273086;3,817067;4,456209;19,468313;;;;
AgNi 300 V4 Neu.txt;Ag;Ni;2;2;100;0,587953;0,613385;0,860149;1,025078;0,731479;0,553708;0,464319;0,590219;1,353426;1,136122;1,64224;2,408468;2,759477;18,480381;;;
AgNi 300 V6.txt;Ag;Ni;2;2;100;1,431538;1,447555;3,342768;4,876891;6,26895;9,226901;4,539436;7,309351;9,863568;15,059411;11,68811;0,919214;2,505272;9,214321;;;
Ag_konventionell_150µm_300mOhm_V1.txt;Ag;Ni;2;2;150;0,574034;0,572544;0,967566;1,410397;1,716398;8,270574;22,722557;3,546833;4,697855;1,910514;13,710693;19,606533;165,402114;;;;
Ag_konventionell_150µm_300mOhm_V2.txt;Ag;Ni;2;2;150;0,979713;0,996383;3,462188;8,320116;10,494039;9,808942;2,656831;2,419255;4,990347;3,734055;12,204527;0,864761;;;;;
Ag_konventionell_200µm_300mOhm_V1.txt;Ag;Ni;2;2;200;2,538626;2,762182;3,135071;2,437897;2,313296;2,26602;2,253103;4,060699;19,711923;4,13418;13,720966;53,044196;;;;;
Ag_konventionell_200µm_300mOhm_V2.txt;Ag;Ni;2;2;200;0,587998;0,744521;1,096034;1,004923;1,406855;1,980163;1,782359;0,532055;21,108288;10,754773;2,238952;31,268019;;;;;
Sn 10 V1.txt;Sn;;2;2;100;0,236806;0,235598;0,257988;0,195755;0,239988;1,042521;1,782793;;;;;;;;;;
Sn 10 V2.txt;Sn;;2;2;100;0,515433;0,513971;0,671859;0,300728;0,308844;0,54866;1,28327;;;;;;;;;;
Sn 10 V3.txt;Sn;;2;2;100;0,587016;0,593582;0,640171;0,806343;0,245242;0,373134;1,621547;;;;;;;;;;
Sn 100 V1.txt;Sn;;2;2;100;1,561326;3,271742;7,929152;1,894883;6,7909;0,291145;6,150305;;;;;;;;;;
Sn 100 V2.txt;Sn;;2;2;100;1,954246;1,977391;1,958937;1,882466;2,223632;2,234282;2,458168;;;;;;;;;;
Sn 100 V3 EDX.txt;Sn;;2;2;100;1,250429;1,248825;1,236475;1,215531;1,456843;1,568068;2,334678;4,690731;71,455106;;;;;;;;
Sn 100 V4.txt;Sn;;2;2;100;0,638862;0,650697;0,524285;0,404168;0,371683;0,507161;0,892191;;;;;;;;;;
Sn 100 V5.txt;Sn;;2;2;100;7,07529;7,066477;5,702638;2,347434;0,438916;0,620476;0,954133;;;;;;;;;;
Sn 300 V1.txt;Sn;;2;2;100;1,328566;1,35286;1,345608;1,502503;1,545754;1,75411;2,762282;;;;;;;;;;
Sn 300 V2.txt;Sn;;2;2;100;1,585865;1,588139;1,578158;1,597833;1,645822;1,754485;2,385045;72,869368;;;;;;;;;
Sn 300 V3 EDX.txt;Sn;;2;2;100;1,126607;1,12778;1,0852;1,05296;1,097096;1,286946;1,612075;179,02793;;;;;;;;;
Sn 50 V1.txt;Sn;;2;2;100;1,466603;1,465837;1,460787;1,713874;1,890225;1,918301;2,927607;;;;;;;;;;
Sn 50 V2.txt;Sn;;2;2;100;2,092308;2,116577;2,065166;2,432685;13,66289;;;;;;;;;;;;
Sn 50 V3 EDX.txt;Sn;;2;2;100;1,692619;1,692212;1,650781;1,44578;1,460811;1,536469;1,994173;;;;;;;;;;
Sn 50 V4.txt;Sn;;2;2;100;0,422901;0,424441;0,390723;0,349582;0,372669;0,873278;1,048468;;;;;;;;;;
Sn 50 V5.txt;Sn;;2;2;100;3,862641;3,864152;1,683154;0,520005;0,431868;0,599327;1,187323;;;;;;;;;;
